user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR1018194_M2-Pk017A.SZAXPI003418-8_bin.39	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.52	0.868	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.26, 0.341; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.2, 0.32; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.24, 0.211; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.5, 0.271	N/A	N/A	N/A	N/A
ERR1018194_M2-Pk017A.SZAXPI003418-8_bin.44	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900543175	GCF_900543175.1	95.86	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900543175	97.3	0.773	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_021531615.1, s__Fusobacterium_A varium_C, 95.0, 95.7, 0.834; GCA_030527385.1, s__Fusobacterium_A sp030527385, 95.0, 87.78, 0.169; GCF_905200055.1, s__Fusobacterium_A sp900555845, 95.18, 92.95, 0.643	N/A	N/A	N/A	N/A
ERR1018195_506A.SZAXPI003419-6_bin.30	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.71	0.875	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.83, 0.258; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.21, 0.375; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 86.97, 0.389; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 87.49, 0.307	N/A	N/A	N/A	N/A
ERR1018196_M2-Pk012A.SZAXPI003420-4_bin.58	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.9%)
ERR1018197_M2-Pk011A.SZAXPI003421-5_bin.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	GCF_958445495.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp958445495	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002222615.2, s__Bacteroides caccae, 95.0, 99.23, 0.221; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 97.72, 0.171; GCF_028539415.1, s__Bacteroides cellulosilyticus, 95.26, 96.64, 0.156	16.54	11	0.98445	N/A
ERR1018198_M116A.SZAXPI003422-11_bin.51	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	GCF_000158195.2	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	98.95	0.818	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 84.66, 0.219; GCA_018883725.1, s__Fusobacterium_A pullicola, 95.0, 85.47, 0.275; GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 85.28, 0.19; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 89.14, 0.364; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 86.63, 0.299	N/A	N/A	N/A	N/A
ERR1018200_M2-Pk006A.SZAXPI003424-12_bin.35	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255	GCF_039753335.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp900540255	99.14	0.837	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_000577815.1, s__Clostridium saudiense, 95.0, 86.53, 0.233; GCF_004353185.1, s__Clostridium cuniculi, 95.0, 84.65, 0.15; GCF_015670405.1, s__Clostridium sp015670405, 95.0, 86.09, 0.223	N/A	N/A	N/A	N/A
ERR1018201_M2-Pk005A.SZAXPI003425-1_bin.3	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	GCF_003477605.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	98.73	0.697	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_937902905.1, s__Eubacterium_F sp937902905, 95.0, 93.63, 0.557; GCA_934322085.1, s__Eubacterium_F sp934322085, 95.0, 94.26, 0.64	N/A	N/A	N/A	N/A
ERR1018201_M2-Pk005A.SZAXPI003425-1_bin.32	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	97.13	0.896	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_005843885.1, s__Escherichia sp005843885, 95.0, 93.51, 0.805; GCF_014836715.1, s__Escherichia whittamii, 95.0, 92.41, 0.795; GCF_028069725.1, s__Citrobacter_D sp028069725, 95.0, 82.67, 0.177; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 83.06, 0.191; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 93.16, 0.596; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 83.05, 0.188; GCF_019048065.1, s__Citrobacter_A farmeri, 95.0, 82.89, 0.19; GCF_002075345.1, s__Citrobacter braakii, 95.0, 82.71, 0.178; GCF_021278985.1, s__Citrobacter_A rodentium, 95.0, 82.9, 0.163; GCF_000759835.1, s__Citrobacter_A sedlakii, 95.0, 82.91, 0.2; GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 83.37, 0.187; GCF_004684345.1, s__Citrobacter tructae, 95.0, 82.9, 0.196; GCF_010231475.1, s__Citrobacter_D sp010231475, 95.0, 82.64, 0.178; GCF_002900365.1, s__Escherichia marmotae, 95.0, 91.45, 0.732; GCF_002918555.1, s__Citrobacter_C amalonaticus_A, 95.0, 82.74, 0.161; GCA_028994555.1, s__Citrobacter_A amalonaticus_G, 95.0, 83.39, 0.197; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.51, 0.207; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 83.23, 0.187; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.69, 0.756; GCF_031323975.1, s__Escherichia ruysiae, 95.0, 93.34, 0.803; GCF_003818115.1, s__Citrobacter youngae, 95.09, 82.92, 0.191; GCF_029338175.1, s__Citrobacter_D enshiensis, 95.0, 83.13, 0.185; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 82.93, 0.187; GCF_018252635.1, s__Citrobacter_A amalonaticus_E, 95.0, 82.87, 0.187; GCF_011064845.1, s__Citrobacter freundii, 95.0, 82.71, 0.19; GCF_945906775.1, s__Citrobacter sp945906775, 95.0, 82.69, 0.183; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 82.64, 0.197; GCF_001037495.1, s__Citrobacter murliniae, 95.0, 82.31, 0.175; GCF_036503815.1, s__Escherichia coli_F, 95.84, 96.01, 0.885; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 82.38, 0.174; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 83.49, 0.188; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 83.25, 0.204; GCF_018323885.1, s__Citrobacter_A amalonaticus, 95.0, 82.9, 0.183; GCF_029717145.1, s__Citrobacter gillenii, 95.0, 82.8, 0.187; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.18, 0.664; GCF_013836145.1, s__Citrobacter_A sp013836145, 95.0, 83.09, 0.167; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.77, 0.804; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 82.96, 0.182; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 82.55, 0.189; GCF_037053465.1, s__Citrobacter_A amalonaticus_H, 95.0, 82.77, 0.18; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.27, 0.714; GCF_000826205.1, s__Citrobacter pasteurii, 95.0, 82.98, 0.18; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 82.64, 0.169	N/A	N/A	N/A	N/A
ERR1018202_M2-Pk007A.SZAXPI003426-11_bin.24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	GCF_000011065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	98.74	0.642	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_947646015.1, s__Bacteroides sp947646015, 95.0, 97.79, 0.295; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 85.18, 0.172; GCF_028539415.1, s__Bacteroides cellulosilyticus, 95.26, 98.64, 0.773; GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 91.6, 0.239; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 89.65, 0.342; GCF_900106755.1, s__Bacteroides faecis, 95.0, 90.25, 0.315; GCF_020091405.1, s__Bacteroides sp900552405, 95.23, 94.22, 0.523; GCF_902364365.1, s__Bacteroides sp900556215, 95.07, 89.67, 0.335; GCA_948847595.1, s__Bacteroides sp948847595, 95.0, 95.83, 0.287; GCA_900759525.1, s__Bacteroides sp900759525, 95.0, 94.77, 0.639; GCF_036416795.1, s__Bacteroides sp036416795, 95.05, 94.1, 0.521; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 90.75, 0.194; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 94.66, 0.492; GCA_019412825.1, s__Bacteroides thetaiotaomicron_A, 95.0, 95.84, 0.46; GCF_025147325.1, s__Bacteroides stercoris, 95.0, 95.36, 0.202; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 93.28, 0.28; GCF_000172175.1, s__Bacteroides intestinalis, 95.0, 89.42, 0.333	N/A	N/A	N/A	N/A
ERR1018203_A60A.SZAXPI003427-1_bin.33	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	GCF_000158195.2	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A mortiferum	99.06	0.899	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 85.56, 0.194; GCA_018883725.1, s__Fusobacterium_A pullicola, 95.0, 85.82, 0.263; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 84.72, 0.221; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 89.28, 0.345; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 85.95, 0.298	N/A	N/A	N/A	N/A
ERR1018205_A51A.SZAXPI003429-3_bin.28	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.71	0.895	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 88.58, 0.228; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 89.28, 0.31; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 89.5, 0.334; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 89.94, 0.286	N/A	N/A	N/A	N/A
ERR1018205_A51A.SZAXPI003429-3_bin.30	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
ERR1018206_M84A.SZAXPI003430-5_bin.26	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	GCF_900167555.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	97.99	0.826	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 87.44, 0.366; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 87.12, 0.367; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 86.86, 0.312; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 85.16, 0.242	N/A	N/A	N/A	N/A
